,count,unique,top,freq,mean,std,min,25%,50%,75%,max
NonDominantHandshapeM3.2.0,14,6,5,3,,,,,,,
UlnarRotationM3.2.0,22.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HandshapeM4.2.0,10,7,5,3,,,,,,,
MarkedHandshapeM4.2.0,10.0,,,,0.4,0.5163977794943222,0.0,0.0,0.0,1.0,1.0
SelectedFingersM4.2.0,11,5,imrp,4,,,,,,,
FlexionM4.2.0,9,4,FullyOpen,4,,,,,,,
FlexionChangeM4.2.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpreadM4.2.0,4.0,,,,0.75,0.5,0.0,0.75,1.0,1.0,1.0
SpreadChangeM4.2.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThumbPositionM4.2.0,11,2,Open,10,,,,,,,
ThumbContactM4.2.0,9.0,,,,0.4444444444444444,0.5270462766947299,0.0,0.0,0.0,1.0,1.0
SignTypeM4.2.0,4,3,OneHanded,2,,,,,,,
MovementM4.2.0,1,1,Straight,1,,,,,,,
RepeatedMovementM4.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
MajorLocationM4.2.0,4,3,Body,2,,,,,,,
MinorLocationM4.2.0,4,3,TorsoTop,2,,,,,,,
SecondMinorLocationM4.2.0,1,1,HandAway,1,,,,,,,
ContactM4.2.0,4.0,,,,0.75,0.5,0.0,0.75,1.0,1.0,1.0
NonDominantHandshapeM4.2.0,1.0,,,,5.0,,5.0,5.0,5.0,5.0,5.0
UlnarRotationM4.2.0,0.0,,,,,,,,,,
HandshapeM5.2.0,3,3,curved_v,1,,,,,,,
MarkedHandshapeM5.2.0,3.0,,,,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
SelectedFingersM5.2.0,3,3,im,1,,,,,,,
FlexionM5.2.0,3,3,Curved,1,,,,,,,
FlexionChangeM5.2.0,0.0,,,,,,,,,,
SpreadM5.2.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpreadChangeM5.2.0,0.0,,,,,,,,,,
ThumbPositionM5.2.0,3,2,Open,2,,,,,,,
ThumbContactM5.2.0,3.0,,,,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
SignTypeM5.2.0,0.0,,,,,,,,,,
MovementM5.2.0,0.0,,,,,,,,,,
RepeatedMovementM5.2.0,0.0,,,,,,,,,,
MajorLocationM5.2.0,0.0,,,,,,,,,,
MinorLocationM5.2.0,0.0,,,,,,,,,,
SecondMinorLocationM5.2.0,0.0,,,,,,,,,,
ContactM5.2.0,0.0,,,,,,,,,,
NonDominantHandshapeM5.2.0,0.0,,,,,,,,,,
UlnarRotationM5.2.0,0.0,,,,,,,,,,
HandshapeM6.2.0,1,1,r,1,,,,,,,
MarkedHandshapeM6.2.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
SelectedFingersM6.2.0,1,1,im,1,,,,,,,
FlexionM6.2.0,1,1,Crossed,1,,,,,,,
FlexionChangeM6.2.0,0.0,,,,,,,,,,
SpreadM6.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
SpreadChangeM6.2.0,0.0,,,,,,,,,,
ThumbPositionM6.2.0,2,2,Open,1,,,,,,,
ThumbContactM6.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
SignTypeM6.2.0,0.0,,,,,,,,,,
MovementM6.2.0,0.0,,,,,,,,,,
RepeatedMovementM6.2.0,0.0,,,,,,,,,,
MajorLocationM6.2.0,0.0,,,,,,,,,,
MinorLocationM6.2.0,0.0,,,,,,,,,,
SecondMinorLocationM6.2.0,0.0,,,,,,,,,,
ContactM6.2.0,0.0,,,,,,,,,,
NonDominantHandshapeM6.2.0,0.0,,,,,,,,,,
UlnarRotationM6.2.0,0.0,,,,,,,,,,
SignType.2.0Frequency,2723.0,,,,0.30724274697025333,0.11152085788285963,0.006,0.175,0.345,0.392,0.392
MajorLocation.2.0Frequency,2723.0,,,,0.27472493573264783,0.08776696018908055,0.0,0.25,0.266,0.363,0.363
MinorLocation.2.0Frequency,2723.0,,,,0.15539662137348512,0.1578016915648673,0.001,0.032,0.066,0.363,0.363
